26.10.2023 - 15:08:20 | Starting game
26.10.2023 - 23:47:53 | Starting game
26.10.2023 - 23:48:09 | Initializing new game
26.10.2023 - 23:48:12 | Action: enter_room -> 1
26.10.2023 - 23:48:12 | Action: change_position -> e
28.10.2023 - 19:52:33 | Starting game
28.10.2023 - 19:52:53 | Starting game
28.10.2023 - 19:53:23 | Starting game
28.10.2023 - 19:56:59 | Starting game
28.10.2023 - 19:57:48 | Starting game
28.10.2023 - 19:58:35 | Starting game
03.11.2023 - 11:09:03 | Starting game
04.11.2023 - 21:51:06 | Starting game
04.11.2023 - 21:51:10 | Initializing new game
04.11.2023 - 21:51:16 | Action: enter_room -> 1
04.11.2023 - 21:51:16 | Action: change_position -> e
04.11.2023 - 22:22:43 | Starting game
04.11.2023 - 22:22:45 | Initializing new game
04.11.2023 - 22:22:47 | Action: enter_room -> 1
04.11.2023 - 22:22:47 | Action: change_position -> e
05.11.2023 - 11:30:00 | Starting game
05.11.2023 - 11:30:01 | Initializing new game
05.11.2023 - 11:30:02 | Action: enter_room -> 1
05.11.2023 - 11:30:02 | Action: change_position -> e
05.11.2023 - 11:30:46 | Starting game
05.11.2023 - 11:30:46 | Initializing new game
05.11.2023 - 11:30:48 | Action: enter_room -> 1
05.11.2023 - 11:30:48 | Action: change_position -> e
05.11.2023 - 11:31:39 | Starting game
05.11.2023 - 11:31:39 | Initializing new game
05.11.2023 - 11:31:41 | Action: enter_room -> 1
05.11.2023 - 11:31:41 | Action: change_position -> e
05.11.2023 - 11:33:19 | Starting game
05.11.2023 - 11:33:20 | Initializing new game
05.11.2023 - 11:33:21 | Action: enter_room -> 1
05.11.2023 - 11:33:21 | Action: change_position -> e
05.11.2023 - 11:37:23 | Starting game
05.11.2023 - 11:37:24 | Initializing new game
05.11.2023 - 11:37:25 | Action: enter_room -> 1
05.11.2023 - 11:37:25 | Action: change_position -> e
05.11.2023 - 11:39:35 | Starting game
05.11.2023 - 11:39:36 | Initializing new game
05.11.2023 - 11:39:38 | Action: enter_room -> 1
05.11.2023 - 11:39:38 | Action: change_position -> e
05.11.2023 - 11:40:16 | Starting game
05.11.2023 - 11:40:17 | Initializing new game
05.11.2023 - 11:40:19 | Action: enter_room -> 1
05.11.2023 - 11:40:19 | Action: change_position -> e
05.11.2023 - 11:41:16 | Starting game
05.11.2023 - 11:41:17 | Initializing new game
05.11.2023 - 11:41:18 | Action: enter_room -> 1
05.11.2023 - 11:41:18 | Action: change_position -> e
05.11.2023 - 11:45:46 | Starting game
05.11.2023 - 11:45:47 | Initializing new game
05.11.2023 - 11:45:49 | Action: enter_room -> 1
05.11.2023 - 11:45:49 | Action: change_position -> e
05.11.2023 - 11:46:33 | Starting game
05.11.2023 - 11:46:34 | Initializing new game
05.11.2023 - 11:46:35 | Action: enter_room -> 1
05.11.2023 - 11:46:35 | Action: change_position -> e
05.11.2023 - 11:48:53 | Starting game
05.11.2023 - 11:48:54 | Initializing new game
05.11.2023 - 11:48:56 | Action: enter_room -> 1
05.11.2023 - 11:48:56 | Action: change_position -> e
05.11.2023 - 12:13:30 | Starting game
05.11.2023 - 12:13:31 | Initializing new game
05.11.2023 - 12:13:33 | Action: enter_room -> 1
05.11.2023 - 12:13:33 | Action: change_position -> e
05.11.2023 - 12:16:29 | Starting game
05.11.2023 - 12:16:30 | Initializing new game
05.11.2023 - 12:16:31 | Action: enter_room -> 1
05.11.2023 - 12:16:31 | Action: change_position -> e
05.11.2023 - 12:18:11 | Starting game
05.11.2023 - 12:18:12 | Initializing new game
05.11.2023 - 12:18:14 | Action: enter_room -> 1
05.11.2023 - 12:18:14 | Action: change_position -> e
05.11.2023 - 12:18:30 | Starting game
05.11.2023 - 12:18:30 | Initializing new game
05.11.2023 - 12:18:32 | Action: enter_room -> 1
05.11.2023 - 12:18:32 | Action: change_position -> e
05.11.2023 - 12:25:51 | Starting game
05.11.2023 - 12:25:52 | Initializing new game
05.11.2023 - 12:25:53 | Action: enter_room -> 1
